method,backbone,n_way,k_shot,split,loss_mean,acc_mean,acc_std,inf_ms_mean,n_episodes,timestamp
linear_finetune_s20_lr0.01,tf_efficientnetv2_s.in21k,7,5,test,5.760275470018387,25.471429388970137,5.272396639357802,0.2487911870010586,200,2026-08-23T09:01:58.088302+00:00
linear_finetune_s50_lr0.001,tf_efficientnetv2_s.in21k,7,5,test,2.5298499137163164,26.485715083777905,5.994623650019454,0.5843006308550684,200,2026-08-23T09:12:09.770682+00:00
linear_finetune_s50_lr0.01,tf_efficientnetv2_s.in21k,7,5,test,6.480237345695496,26.228572219610214,6.276031690831202,0.5880890802145586,200,2026-08-23T09:22:23.492424+00:00
linear_finetune_s100_lr0.001,tf_efficientnetv2_s.in21k,7,5,test,2.650011843442917,27.214286491274834,6.519593876602173,1.149969311142091,200,2026-08-23T09:33:04.536089+00:00
linear_finetune_s100_lr0.01,tf_efficientnetv2_s.in21k,7,5,test,6.272252390384674,25.971429359167814,5.654617307118488,1.1359892764994584,200,2026-08-23T09:43:31.501215+00:00
frozen_centroid,tf_efficientnetv2_s.in21k,7,10,test,4.05218493103981,22.507143445312977,5.718744030856884,0.015423108784359232,200,2026-08-23T09:54:10.788744+00:00
linear_finetune_s20_lr0.001,tf_efficientnetv2_s.in21k,7,10,test,1.9339687275886535,30.92857227474451,6.7683990373478995,0.25066111671523167,200,2026-08-23T10:04:57.176389+00:00
linear_finetune_s20_lr0.01,tf_efficientnetv2_s.in21k,7,10,test,3.803716471195221,30.900000855326653,6.58276970742623,0.2504144037167342,200,2026-08-23T10:15:35.197783+00:00
linear_finetune_s50_lr0.001,tf_efficientnetv2_s.in21k,7,10,test,2.0481651401519776,33.95714373141527,6.14071370609269,0.5894958680725852,200,2026-08-23T10:26:03.557820+00:00
linear_finetune_s50_lr0.01,tf_efficientnetv2_s.in21k,7,10,test,4.119778277873993,32.25000086426735,6.877110017977262,0.5875478827856568,200,2026-08-23T10:36:40.097168+00:00
linear_finetune_s100_lr0.001,tf_efficientnetv2_s.in21k,7,10,test,2.2332715445756914,33.54285794496536,6.972189547596484,1.1627553129284414,200,2026-08-23T10:47:22.333943+00:00
linear_finetune_s100_lr0.01,tf_efficientnetv2_s.in21k,7,10,test,3.997540718317032,33.03571516275406,6.398241804634569,1.1450415806443095,200,2026-08-23T10:58:04.417299+00:00
